id,company_name,website_url,segment,City_Location,What_they_make,Revenue_band,Decision-maker,e1_producer_pass,e2_accessible_pass,c3_differentiated,c4_decision_maker,c5_growing_sector,c6_growth_signals,c7_systems_maturity,c8_leadership_succession,Overall_Federer Score,research_evidence,overall_verdict,Personalization_hook
12,Biological E,https://www.biologicale.com,Specialty Biotech,Hyderabad,Large-scale global commercial vaccine and generic pharma production,>Rs.500Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,20,8,8,8,20,8,72,Disqualified on size: Large-scale global vaccine manufacturer exceeding the Rs. 50Cr-500Cr mid-market criteria.,Disqualified (Over Size),Deeply impressed by the scale of your physical manufacturing footprint in Hyderabad and your team's consistent commitment to building high-barrier corporate infrastructure
13,Laurus Labs,https://www.lauruslabs.com,Complex APIs,Hyderabad,Large-scale global commercial vaccine and generic pharma production,>Rs.500Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,20,8,15,8,20,8,79,"Disqualified on size: Revenue exceeds Rs. 5000Cr, pushing it far beyond the required MSME/mid-market scope.",Disqualified (Over Size),Deeply impressed by the scale of your physical manufacturing footprint in Hyderabad and your team's consistent commitment to building high-barrier corporate infrastructure
14,Indian Immunologicals,https://www.indimmune.com,Animal Health & Veterinary,Hyderabad,"Niche veterinary vaccines, animal health biologicals, and human rabies formulations.",Rs.300-500Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,10,8,8,8,10,8,52,Operates advanced veterinary biologicals and vaccine manufacturing facilities in Hyderabad within the target market caps.,Fit,Great to see your advanced veterinary production facilities tracking self-reliance in animal healthcare.
15,Lee Pharma,http://www.leepharma.com,Complex APIs,Hyderabad,"Specialty bio-pharma cultures, custom chemical synthesis intermediates, and regulated APIs",Rs.100-300Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,20,8,15,8,20,8,79,Manufactures specialized APIs and intermediate formulations with dedicated production units in Hyderabad.,Fit,Loved reviewing your specialized pipeline of anti-diabetic and anti-cholesterol intermediate synthesis.
16,Suven Life Sciences,https://www.suven.com,Specialty Biotech,Hyderabad,"Deep neurosciences drug discovery, platform research assets, and global clinical pipeline development.",<Rs.30Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,20,8,8,8,20,8,72,"Focuses on premium drug discovery and clinical research assets, remaining promoter-driven and separate from Suven Pharma.",Fit,Fascinated by your clinical trial progress on home-grown cognitive and Alzheimer’s drug discovery molecules
17,Celon Labs,https://www.celonlabs.com,Complex APIs,Hyderabad,Niche specialty pharmaceutical formulations targeting oncology and,Rs.100-300Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,20,8,15,8,20,8,79,Manufactures niche oncology and critical care specialty pharmaceutical formulations in Hyderabad.,Fit,Impressive focus on building premium anti-infective and localized oncology therapeutics lines
18,Symed Labs,http://www.symedlabs.com,Complex APIs,Hyderabad,"Regulated active pharmaceutical ingredients (APIs), active intermediates, and custom chemical lines.",>Rs.500Cr ,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,20,8,15,8,20,8,79,Operates multiple USFDA-approved manufacturing sites in Hyderabad focusing on complex active pharmaceutical ingredients.,Disqualified,"""Excellent operational scaling to over 1,035 team members handling high-barrier therapeutic elements"
19,Maithri Drugs,http://www.maithridrugs.com,Complex APIs,Hyderabad,"Complex APIs, custom intermediate synthesis, and specialized chemical molecules.",Rs.100-300Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,20,8,15,8,20,8,79,An active manufacturer of complex APIs and intermediates with established production infrastructure in Hyderabad.,Fit,Fantastic execution on driving a 37% revenue growth spike through scaled manufacturing capacity.
20,Vasant Chemicals,https://www.vasantchem.com,Custom Synthesis & Specialty Chemicals,Hyderabad,"Custom synthesis, specialty chemical manufacturing, and technical active molecules.",Rs.100-300Cr ,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,10,8,8,8,10,8,52,Provides custom synthesis and specialty chemical manufacturing services to global clients from Hyderabad facilities.,Fit,A highly legacy chemical player; noted your global focus on technical intermediates
21,Sura Labs,http://www.suralabs.com,Specialty Diagnostics & Life-Science Tools,Hyderabad,"Niche analytical testing reagents, molecular diagnostic tools, and in-vitro laboratory solutions.",<Rs.30Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,10,8,8,8,10,8,52,Manufactures analytical testing reagents and diagnostic lab tools in-house for biotech infrastructures.,Fit,Your localized fabrication of technical lab tools for Hyderabad biotech labs looks very well structured.
22,Prinhac,https://www.prinhac.com,Specialty Food & Nutraceutical Ingredients,Hyderabad,Specialized plant-based protein extracts and technical nutraceutical compounds.,<Rs.30Cr,Pharma / Biotech Rows Founder & Managing Director — Technical Science Background (M.Sc / PhD / M.Pharm),PASS,PASS,10,8,8,8,10,8,52,Produces specialized plant-based protein extracts and functional nutraceutical ingredients in Hyderabad.,Fit,Clean execution on driving R&D around high-purity functional food active ingredients
23,Ananth Technologies,https://www.ananthtech.com,Precision Engineering & Aerospace,Hyderabad,"Advanced satellite systems, missile electronics, and avionics subsystems for ISRO and defense.",RS.400-500Cr,Aerospace / Engineering Rows Founder & Managing Director — Operator Background with Industrial Engineering Pedigree,PASS,PASS,20,8,15,8,20,8,79,Textbook Federer. Scientist-founder manufacturing high-precision satellite systems and avionics subsystems for ISRO.,Fit,Your heavy electro mechanical system integration with Indian railways represents phenomenal capacity
24,Medha Servo Drives,https://www.medhaservo.com,"High-end locomotive control electronics, railway traction systems, and specialized converters",Hyderabad,"High-precision custom machined aerospace components, sub-assemblies, and defense systems.",>Rs.500Cr (Note: Changes verdict to Disqualified),Aerospace / Engineering Rows Founder & Managing Director — Operator Background with Industrial Engineering Pedigree,PASS,PASS,10,8,8,8,10,8,52,Designs and manufactures heavy control electronics and traction powertrains for locomotive transport networks.,Disqualified,heavy electro-mechanical systems integration with Indian Railways represents phenomenal capacity.
25,Zen Technologies,https://www.zentechnologies.com,Industrial Sensors & Instrumentation,Hyderabad,"High-precision custom machined aerospace components, sub-assemblies, and defense systems.",Rs.100-300Cr,Aerospace / Engineering Rows Founder & Managing Director — Operator Background with Industrial Engineering Pedigree,PASS,PASS,10,8,8,8,10,8,52,Designs and manufactures indigenous military combat simulators and counter-drone systems at its hardware park plant.,Fit,Loved seeing your precision contribution to India's recent indigenous aerospace component engineering benchmarks
